NBHD_NAME,NBHD_ID
Baker,3
Lincoln Park,41
Auraria,2
Belcaro,7
Washington Park,70
Cherry Creek,13
Country Club,22
Clayton,17
Skyland,55
City Park West,15
Capitol Hill,9
North Capitol Hill,47
Civic Center,16
CBD,10
Union Station,63
Five Points,26
Stapleton,60
Highland,36
Globeville,29
West Colfax,74
West Highland,75
Southmoor Park,58
Indian Creek,38
East Colfax,24
Rosedale,53
City Park,14
Lowry Field,42
Harvey Park South,35
Gateway / Green Valley Ranch,28
Barnum West,5
Montclair,46
Platt Park,51
Westwood,76
Washington Virginia Vale,72
Villa Park,68
Hale,31
North Park Hill,48
South Park Hill,57
Kennedy,40
Hampden,32
Speer,59
Congress Park,20
Cole,18
Sunnyside,62
Ruby Hill,54
University,64
Goldsmith,30
Virginia Village,69
University Hills,65
Mar Lee,43
Barnum,4
Regis,52
Sun Valley,61
Wellshire,73
University Park,66
Cory - Merrill,21
Washington Park West,71
Whittier,77
Montbello,45
Marston,44
Fort Logan,27
Bear Valley,6
College View / South Platte,19
Hampden South,33
Northeast Park Hill,49
Elyria Swansea,25
Overland,50
Cheesman Park,12
Hilltop,37
Jefferson Park,39
Valverde,67
Athmar Park,1
Windsor,78
Sloan Lake,56
Berkeley,8
Chaffee Park,11
Harvey Park,34
